"","year","agency_code","agency_level","designation_Type","name","county","city","zip","category_code","lea_code","grade_span","school_type","calendar_type","title_i","residing_district","purple_star","stu_enroll","cte_enroll","pct","masking","csi_lp","csi_lg","tsi_cu","tsi_at","BL7","FEM","MALE","OTHER","WH7","majority_white","absent_group_ALL","absent_group_FEM","absent_group_HI7","absent_group_MALE","absent_group_WH7","absent_group_BL7","absent_group_ELS","absent_group_MU7","absent_group_SWD","absent_group_AS7","absent_group_AM7","absent_group_PI7","AAVC","AGNR","ARCH","BMA","EDUC","FINA","GOVT","HLTH","HOSP","HUMA","INFO","LAW","MANU","MRKT","STEM","TRAN"
"13",2022,"010394","SCH","P","Turrentine Middle","Alamance","Burlington",27215,"M","010LEA","06:08","Regular School","Traditional","Y",NA,NA,962,533,55.41,NA,"N","N","Y","Y",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2022,"010396","SCH","P","Walter M Williams High","Alamance","Burlington",27215,"H","010LEA","09:12","Regular School","Traditional","N",NA,NA,1169,893,76.39,NA,"N","N","N","N",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.442,0,2.053,0,0,1.369,0,1.198,3.08,1.967,0.257,0.257,0,0,1.454,0.086
"15",2022,"010400","SCH","P","Western Alamance High","Alamance","Elon",27244,"H","010LEA","09:12","Regular School","Traditional","N",NA,NA,1021,767,75.12,NA,"N","N","N","N",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.588,2.057,4.31,0,0,0,0,2.253,1.959,2.155,0.098,0.294,0,0,0.098,0.881
"16",2022,"010403","SCH","P","Western Alamance Middle","Alamance","Elon",27244,"M","010LEA","06:08","Regular School","Traditional","N",NA,NA,805,473,58.76,NA,"N","N","Y","Y",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2022,"010406","SCH","P","Woodlawn Middle","Alamance","Mebane",27302,"M","010LEA","06:08","Regular School","Traditional","N",NA,NA,581,366,62.99,NA,"N","N","Y","Y",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2022,"010450","SCH","P","Alamance Virtual School","Alamance","Burlington",27217,"A","010LEA","0K:12","Regular School","Traditional","N",NA,NA,343,220,64.14,NA,"N","N","N","N",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2022,"010LEA","LEA","P","Alamance-Burlington Schools","Alamance","Burlington",27217,NA,NA,NA,NA,NA,"N",NA,NA,13793,8223,59.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.327,1.131,1.269,0.065,0,0.189,0,0.95,0.689,1.182,0.261,0.341,0.015,0,0.167,0.123
"20",2022,"01B000","SCH","C","River Mill Academy","Alamance","Graham",27253,"A","CH","0K:12","Regular School","Traditional","N","010LEA",NA,440,84,19.09,NA,"N","N","N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2022,"01C000","SCH","C","Clover Garden","Alamance","Burlington",27217,"A","CH","0K:12","Regular School","Traditional","Y","010LEA",NA,385,182,47.27,NA,"N","N","Y","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",2022,"01D000","SCH","C","The Hawbridge School","Alamance","Saxapahaw",27340,"A","CH","0K:12","Regular School","Traditional","N","010LEA",NA,398,NA,5,TRUE,"N","N","Y","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
