"","year","agency_code","ALL","AS7","BL7","EDS","ELS","FEM","HI7","MALE","MU7","SWD","WH7","AM7","NEDS","NSWD"
"31",2018,"06B000",50,NA,NA,0.2,NA,0.74,NA,0.26,NA,0.34,0.78,NA,NA,NA
"32",2018,"070310",45,NA,0.644444444444444,0.822222222222222,NA,0.444444444444444,NA,0.555555555555556,NA,0.266666666666667,0.222222222222222,NA,NA,NA
"33",2018,"070311",153,NA,0.222222222222222,0.588235294117647,NA,0.69281045751634,0.209150326797386,0.30718954248366,NA,NA,0.535947712418301,NA,NA,NA
"34",2018,"070330",328,NA,0.234756097560976,0.323170731707317,0.0579268292682927,0.49390243902439,0.109756097560976,0.50609756097561,NA,0.128048780487805,0.634146341463415,NA,NA,NA
"35",2018,"070339",272,NA,0.338235294117647,0.400735294117647,0.0625,0.481617647058824,0.132352941176471,0.518382352941177,NA,0.143382352941176,0.488970588235294,NA,NA,NA
"36",2018,"070342",507,NA,0.412228796844181,0.435897435897436,0.0552268244575937,0.544378698224852,0.155818540433925,0.455621301775148,0.0355029585798817,0.130177514792899,0.392504930966469,NA,NA,NA
"37",2018,"070LEA",1305,NA,0.337931034482759,0.431417624521073,0.0521072796934866,0.532567049808429,0.142528735632184,0.467432950191571,0.0314176245210728,0.12183908045977,0.484291187739464,NA,NA,NA
"38",2018,"07A000",79,NA,NA,NA,NA,0.582278481012658,0.126582278481013,0.417721518987342,NA,NA,0.708860759493671,NA,NA,NA
"39",2018,"080311",99,NA,0.555555555555556,0.313131313131313,NA,0.535353535353535,NA,0.464646464646465,NA,NA,0.383838383838384,NA,NA,NA
"40",2018,"080312",428,NA,0.848130841121495,0.551401869158878,NA,0.497663551401869,NA,0.502336448598131,NA,0.186915887850467,0.116822429906542,NA,NA,NA
"41",2018,"080LEA",527,NA,0.793168880455408,0.506641366223909,NA,0.504743833017078,0.0189753320683112,0.495256166982922,NA,0.155597722960152,0.166982922201139,NA,NA,NA
"42",2018,"090330",483,NA,0.438923395445135,0.385093167701863,0.0683229813664596,0.496894409937888,0.109730848861284,0.503105590062112,0.0662525879917184,0.115942028985507,0.356107660455487,0.020703933747412,NA,NA
"43",2018,"090368",428,NA,0.242990654205607,0.345794392523364,0.0373831775700935,0.525700934579439,0.25,0.474299065420561,0.0397196261682243,0.0724299065420561,0.453271028037383,NA,NA,NA
"44",2018,"090LEA",911,NA,0.346871569703622,0.366630076838639,0.0537870472008782,0.510428100987925,0.17563117453348,0.489571899012075,0.0537870472008782,0.0954994511525796,0.401756311745335,0.017563117453348,NA,NA
"45",2018,"09A000",48,NA,0.770833333333333,0.375,NA,0.395833333333333,NA,0.604166666666667,NA,NA,NA,NA,NA,NA
"46",2018,"100307",257,NA,0.0933852140077821,0.43579766536965,NA,0.657587548638132,0.190661478599222,0.342412451361868,0.0622568093385214,NA,0.642023346303502,NA,NA,NA
"47",2018,"100308",111,NA,0.162162162162162,0.774774774774775,NA,0.459459459459459,0.108108108108108,0.540540540540541,NA,0.198198198198198,0.684684684684685,NA,NA,NA
"48",2018,"100326",906,NA,0.206401766004415,0.554083885209713,0.0320088300220751,0.43046357615894,0.160044150110375,0.56953642384106,0.054083885209713,0.141280353200883,0.557395143487859,0.0121412803532009,NA,NA
"49",2018,"100334",833,NA,0.0960384153661465,0.481392557022809,0.0132052821128451,0.453781512605042,0.0540216086434574,0.546218487394958,0.0468187274909964,0.126050420168067,0.789915966386555,NA,NA,NA
"50",2018,"100348",1068,0.0121722846441948,0.143258426966292,0.539325842696629,0.0421348314606742,0.47565543071161,0.138576779026217,0.524344569288389,0.0290262172284644,0.108614232209738,0.666666666666667,NA,NA,NA
"51",2018,"100LEA",3175,0.00850393700787402,0.145511811023622,0.528188976377953,0.0289763779527559,0.471181102362205,0.125669291338583,0.528818897637795,0.0440944881889764,0.117165354330709,0.666456692913386,0.0078740157480315,NA,NA
"52",2018,"110303",83,NA,NA,0.807228915662651,NA,0.313253012048193,NA,0.686746987951807,NA,0.216867469879518,0.710843373493976,NA,NA,NA
"53",2018,"110304",959,0.013555787278415,0.106360792492179,0.442127215849844,0.0333680917622523,0.455683003128259,0.0875912408759124,0.544316996871741,0.0802919708029197,0.157455683003128,0.708029197080292,NA,NA,NA
"54",2018,"110322",173,NA,NA,0.456647398843931,0.069364161849711,0.635838150289017,0.202312138728324,0.364161849710983,NA,NA,0.728323699421965,NA,NA,NA
"55",2018,"110336",510,NA,0.0333333333333333,0.466666666666667,0.0431372549019608,0.517647058823529,0.129411764705882,0.482352941176471,0.0431372549019608,0.141176470588235,0.780392156862745,NA,NA,NA
"56",2018,"110340",1018,NA,0.0834970530451866,0.660117878192534,0.102161100196464,0.457760314341847,0.254420432220039,0.542239685658153,0.0628683693516699,0.162082514734774,0.574656188605108,NA,NA,NA
