"","year","agency_code","ALL","AM7","AS7","BL7","EDS","ELS","FEM","HI7","MALE","MU7","SWD","WH7","NEDS","NSWD"
"1",2018,"00A000",2290,0.0126637554585153,0.0279475982532751,0.212663755458515,0.18646288209607,0.0222707423580786,0.559825327510917,0.141484716157205,0.440174672489083,0.0751091703056769,0.113100436681223,0.530131004366812,NA,NA
"2",2018,"00B000",2486,0.00683829444891392,0.0084473049074819,0.204344328238134,0.261866452131939,0.0156878519710378,0.509251810136766,0.101769911504425,0.490748189863234,0.0989541432019308,0.150442477876106,0.579646017699115,NA,NA
"3",2018,"010304",705,NA,NA,0.0921985815602837,0.509219858156028,0.212765957446809,0.472340425531915,0.280851063829787,0.527659574468085,0.051063829787234,0.0964539007092199,0.565957446808511,NA,NA
"4",2018,"010308",814,NA,NA,0.0945945945945946,0.455773955773956,0.0798525798525798,0.497542997542998,0.152334152334152,0.502457002457002,0.0454545454545455,0.12039312039312,0.7002457002457,NA,NA
"5",2018,"010310",1696,NA,0.00825471698113208,0.344929245283019,0.543042452830189,0.336084905660377,0.465801886792453,0.538325471698113,0.534198113207547,0.0324292452830189,0.153891509433962,0.0731132075471698,NA,NA
"6",2018,"010312",839,NA,0.0512514898688915,0.200238379022646,0.350417163289631,0.114421930870083,0.506555423122765,0.133492252681764,0.493444576877235,0.0464839094159714,0.146603098927294,0.566150178784267,NA,NA
"7",2018,"010320",389,NA,NA,0.161953727506427,0.375321336760925,0.0359897172236504,0.491002570694087,0.0976863753213368,0.508997429305913,0.0359897172236504,0.102827763496144,0.686375321336761,NA,NA
"8",2018,"010326",723,NA,NA,0.360995850622407,0.639004149377593,0.396957123098202,0.525587828492393,0.525587828492393,0.474412171507607,0.029045643153527,0.0940525587828492,0.0788381742738589,NA,NA
"9",2018,"010328",742,NA,NA,0.0269541778975741,0.299191374663073,0.0148247978436658,0.464959568733154,0.0592991913746631,0.535040431266846,0.0202156334231806,0.101078167115903,0.890835579514825,NA,NA
"10",2018,"010340",838,NA,0.0167064439140811,0.146778042959427,0.455847255369928,0.140811455847255,0.5,0.201670644391408,0.5,0.0393794749403341,0.0656324582338902,0.588305489260143,NA,NA
"11",2018,"010346",434,NA,0.0230414746543779,0.0552995391705069,0.594470046082949,0.202764976958525,0.463133640552995,0.232718894009217,0.536866359447005,0.0506912442396313,0.126728110599078,0.638248847926267,NA,NA
"12",2018,"010347",795,NA,0.0163522012578616,0.164779874213836,0.561006289308176,0.138364779874214,0.514465408805031,0.223899371069182,0.485534591194969,0.0427672955974843,0.110691823899371,0.545911949685535,NA,NA
"13",2018,"010350",1461,NA,0.0171115674195756,0.281314168377823,0.838466803559206,0.293634496919918,0.531827515400411,0.451060917180014,0.468172484599589,0.054072553045859,0.120465434633812,0.193018480492813,NA,NA
"14",2018,"010351",555,NA,NA,0.401801801801802,0.563963963963964,0.216216216216216,0.448648648648649,0.32972972972973,0.551351351351351,0.0792792792792793,0.154954954954955,0.169369369369369,NA,NA
"15",2018,"010353",1560,NA,0.0230769230769231,0.162179487179487,0.552564102564103,0.142948717948718,0.47948717948718,0.240384615384615,0.520512820512821,0.0532051282051282,0.132692307692308,0.516666666666667,NA,NA
"16",2018,"010354",772,NA,NA,0.427461139896373,0.645077720207254,0.224093264248705,0.522020725388601,0.378238341968912,0.477979274611399,0.0297927461139896,0.106217616580311,0.151554404145078,NA,NA
"17",2018,"010357",667,0.0254872563718141,NA,0.245877061469265,0.55472263868066,0.394302848575712,0.47376311844078,0.51424287856072,0.52623688155922,0.0449775112443778,0.133433283358321,0.166416791604198,NA,NA
"18",2018,"010358",752,NA,0.0159574468085106,0.481382978723404,0.577127659574468,0.199468085106383,0.457446808510638,0.280585106382979,0.542553191489362,0.0558510638297872,0.0984042553191489,0.166223404255319,NA,NA
"19",2018,"010362",634,NA,0.0394321766561514,0.23186119873817,0.451104100946372,0.108832807570978,0.526813880126183,0.201892744479495,0.473186119873817,0.0457413249211356,0.0678233438485804,0.481072555205047,NA,NA
"20",2018,"010364",482,NA,NA,0.37551867219917,0.607883817427386,0.298755186721992,0.475103734439834,0.360995850622407,0.524896265560166,0.0643153526970954,0.176348547717842,0.190871369294606,NA,NA
"21",2018,"010372",327,NA,NA,0.287461773700306,0.474006116207951,0.18348623853211,0.437308868501529,0.256880733944954,0.562691131498471,0.073394495412844,0.162079510703364,0.363914373088685,NA,NA
"22",2018,"010374",674,NA,NA,0.268545994065282,0.55786350148368,0.519287833827893,0.504451038575668,0.63946587537092,0.495548961424332,0.0341246290801187,0.129080118694362,0.0385756676557863,NA,NA
"23",2018,"010378",114,NA,NA,0.412280701754386,0.807017543859649,NA,0.184210526315789,NA,0.815789473684211,0.114035087719298,0.666666666666667,0.403508771929825,NA,NA
"24",2018,"010380",644,NA,0.0403726708074534,0.22360248447205,0.445652173913043,0.321428571428571,0.444099378881988,0.47360248447205,0.555900621118012,0.0543478260869565,0.114906832298137,0.208074534161491,NA,NA
"25",2018,"010384",782,NA,0.0217391304347826,0.283887468030691,0.379795396419437,0.0370843989769821,0.554987212276215,0.108695652173913,0.445012787723785,0.0843989769820972,0.112531969309463,0.49616368286445,NA,NA
"26",2018,"010390",1690,NA,0.00828402366863905,0.0366863905325444,0.39112426035503,0.0532544378698225,0.504733727810651,0.119526627218935,0.495266272189349,0.0319526627218935,0.115384615384615,0.802366863905325,NA,NA
"27",2018,"010392",343,NA,NA,0.0524781341107872,0.647230320699708,0.0641399416909621,0.498542274052478,0.128279883381924,0.501457725947522,0.0408163265306122,0.142857142857143,0.763848396501458,NA,NA
"28",2018,"010394",1954,NA,0.0276356192425793,0.356704196519959,0.651484135107472,0.123336745138178,0.463664278403275,0.250767656090072,0.536335721596725,0.0552712384851586,0.123336745138178,0.307574206755374,NA,NA
"29",2018,"010403",1965,0.00559796437659033,0.00814249363867684,0.0956743002544529,0.357760814249364,0.0865139949109415,0.489567430025445,0.169465648854962,0.510432569974555,0.0427480916030534,0.0900763358778626,0.67735368956743,NA,NA
"30",2018,"010406",1251,0.0119904076738609,0.017585931254996,0.220623501199041,0.403677058353317,0.0735411670663469,0.493205435651479,0.165467625899281,0.506794564348521,0.0647482014388489,0.119904076738609,0.517985611510791,NA,NA
