year,agency_code,career_cluster,num_concentrators
2017,100326,INFO,9
2017,100326,MANU,2
2017,100326,STEM,3
2017,100334,AGNR,53
2017,100334,ARCH,66
2017,100334,BMA,69
2017,100334,FINA,2
2017,100334,HLTH,16
2017,100334,HOSP,51
2017,100334,HUMA,4
2017,100334,INFO,6
2017,100334,MANU,8
2017,100334,MRKT,77
2017,100334,STEM,1
2017,100334,TRAN,43
2017,100348,AGNR,46
2017,100348,ARCH,22
2017,100348,BMA,51
2017,100348,FINA,1
2017,100348,HLTH,57
2017,100348,HOSP,36
2017,100348,HUMA,1
2017,100348,INFO,46
2017,100348,MANU,5
2017,100348,MRKT,25
2017,100348,TRAN,27
2017,110303,AGNR,3
2017,110303,BMA,1
2017,110304,AAVC,44
2017,110304,AGNR,56
2017,110304,ARCH,36
2017,110304,BMA,39
2017,110304,HLTH,48
2017,110304,HOSP,36
2017,110304,HUMA,21
2017,110304,INFO,9
2017,110304,LAW,112
2017,110304,MRKT,19
2017,110304,STEM,48
2017,110304,TRAN,22
2017,110323,AGNR,1
2017,110323,INFO,1
2017,110323,LAW,1
2017,110336,AAVC,3
2017,110336,AGNR,47
2017,110336,ARCH,27
2017,110336,BMA,10
2017,110336,HLTH,24
2017,110336,HOSP,33
2017,110336,INFO,39
2017,110336,LAW,7
2017,110336,STEM,9
2017,110340,AAVC,2
2017,110340,AGNR,445
2017,110340,ARCH,295
2017,110340,BMA,83
2017,110340,HLTH,127
2017,110340,HOSP,272
2017,110340,HUMA,15
2017,110340,LAW,50
2017,110340,MRKT,30
2017,110340,TRAN,5
2017,110352,AAVC,36
2017,110352,AGNR,56
2017,110352,ARCH,30
2017,110352,BMA,5
2017,110352,FINA,15
2017,110352,HLTH,48
2017,110352,HOSP,16
2017,110352,INFO,26
2017,110352,LAW,25
2017,110352,MANU,3
2017,110352,MRKT,3
2017,110352,TRAN,8
2017,110380,AGNR,69
2017,110380,ARCH,98
2017,110380,BMA,27
2017,110380,HLTH,45
2017,110380,HUMA,1
2017,110380,INFO,30
2017,110380,LAW,23
2017,110380,MANU,23
2017,110380,MRKT,18
2017,110416,AAVC,14
2017,110416,AGNR,39
2017,110416,ARCH,10
2017,110416,BMA,8
2017,110416,HLTH,42
2017,110416,HOSP,30
2017,110416,HUMA,7
2017,110416,INFO,15
2017,110416,LAW,207
2017,110416,MANU,10
2017,110416,MRKT,11
2017,110416,TRAN,9
2017,111302,AAVC,3
2017,111302,AGNR,1
2017,111302,BMA,2
2017,111302,FINA,3
2017,111302,HLTH,8
2017,111302,HOSP,12
2017,111302,HUMA,8
2017,111302,LAW,12
2017,111302,MANU,9
2017,111700,HLTH,64
2017,111700,HOSP,2
2017,111700,HUMA,1
2017,111700,LAW,3
2017,111700,MANU,8
2017,120308,STEM,1
2017,120310,BMA,3
2017,120310,FINA,2
2017,120310,LAW,1
2017,120314,AAVC,9
2017,120314,AGNR,27
2017,120314,ARCH,25
2017,120314,BMA,5
2017,120314,HLTH,15
2017,120314,HOSP,15
2017,120314,HUMA,9
2017,120314,INFO,6
2017,120314,MANU,3
2017,120318,AAVC,3
2017,120318,AGNR,15
2017,120318,ARCH,18
2017,120318,BMA,3
2017,120318,HLTH,22
2017,120318,HOSP,10
2017,120318,INFO,6
2017,120318,LAW,2
2017,120318,MANU,8
2017,120318,TRAN,6
2017,120346,AAVC,8
2017,120346,AGNR,17
2017,120346,ARCH,9
2017,120346,BMA,2
2017,120346,HLTH,13
2017,120346,HOSP,14
2017,120346,HUMA,2
2017,120346,INFO,15
2017,120346,LAW,3
2017,120346,MANU,2
2017,120370,AAVC,4
2017,120370,AGNR,13
2017,120370,ARCH,14
2017,120370,HLTH,12
2017,120370,HOSP,19
2017,120370,INFO,6
2017,120370,LAW,9
2017,120370,MANU,1
2017,120370,TRAN,11
2017,130307,AGNR,63
2017,130307,ARCH,96
2017,130307,BMA,58
2017,130307,HLTH,22
2017,130307,HOSP,63
2017,130307,HUMA,2
2017,130307,INFO,46
2017,130307,MANU,4
2017,130307,MRKT,37
2017,130307,STEM,18
2017,130307,TRAN,21
2017,130310,AAVC,11
2017,130310,AGNR,181
2017,130310,ARCH,61
2017,130310,BMA,28
2017,130310,FINA,5
2017,130310,HLTH,37
2017,130310,HOSP,30
2017,130310,HUMA,2
2017,130310,INFO,15
2017,130310,MANU,2
2017,130310,MRKT,9
2017,130310,STEM,54
2017,130314,AGNR,37
2017,130314,ARCH,19
2017,130314,BMA,21
2017,130314,HLTH,46
2017,130314,HOSP,62
2017,130314,HUMA,1
2017,130314,INFO,9
2017,130314,LAW,34
2017,130314,MRKT,13
2017,130316,AAVC,20
2017,130316,AGNR,51
2017,130316,ARCH,28
2017,130316,BMA,10
2017,130316,HLTH,29
2017,130316,HOSP,33
2017,130316,HUMA,7
2017,130316,INFO,15
2017,130316,LAW,1
2017,130316,MANU,8
2017,130316,MRKT,3
2017,130316,STEM,11
2017,130316,TRAN,15
2017,130317,AGNR,3
2017,130317,HLTH,1
2017,130317,HOSP,3
2017,130324,AAVC,17
2017,130324,AGNR,44
2017,130324,ARCH,7
2017,130324,HLTH,23
2017,130324,HOSP,12
2017,130324,HUMA,4
2017,130324,INFO,17
2017,130324,LAW,4
2017,130324,TRAN,8
2017,130326,AAVC,36
2017,130326,AGNR,116
2017,130326,ARCH,22
2017,130326,BMA,22
2017,130326,HLTH,50
2017,130326,HOSP,56
2017,130326,HUMA,9
2017,130326,INFO,12
2017,130326,LAW,3
2017,130326,MANU,14
2017,130326,MRKT,12
2017,130326,STEM,18
2017,130326,TRAN,32
2017,130332,AAVC,14
2017,130332,AGNR,37
2017,130332,ARCH,20
2017,130332,BMA,25
2017,130332,FINA,2
2017,130332,HLTH,64
2017,130332,HOSP,37
2017,130332,HUMA,5
2017,130332,INFO,29
2017,130332,LAW,1
2017,130332,MANU,10
2017,130332,MRKT,8
2017,130332,STEM,34
2017,130332,TRAN,20
2017,130333,AAVC,1
2017,130333,AGNR,3
2017,130333,ARCH,1
2017,130333,BMA,21
2017,130333,HLTH,1
2017,130333,INFO,2
2017,130333,MRKT,4
2017,132304,AAVC,32
2017,132304,AGNR,32
2017,132304,ARCH,36
2017,132304,BMA,30
2017,132304,HLTH,55
2017,132304,HOSP,30
2017,132304,HUMA,16
2017,132304,INFO,16
2017,132304,MANU,17
2017,132304,MRKT,17
2017,132304,STEM,70
2017,132304,TRAN,3
2017,140305,AAVC,30
2017,140305,ARCH,3
2017,140305,BMA,35
2017,140305,HLTH,26
2017,140305,INFO,6
2017,140305,MANU,5
2017,140305,STEM,18
2017,140348,AGNR,27
2017,140348,ARCH,26
2017,140348,BMA,36
2017,140348,HLTH,9
2017,140348,HOSP,6
2017,140348,HUMA,10
2017,140348,INFO,20
2017,140348,LAW,3
2017,140348,TRAN,3
2017,140386,AAVC,4
2017,140386,AGNR,46
2017,140386,ARCH,84
2017,140386,BMA,19
2017,140386,HLTH,50
2017,140386,HOSP,50
2017,140386,HUMA,7
2017,140386,INFO,8
2017,140386,LAW,4
2017,140386,MANU,4
2017,140386,MRKT,6
2017,140386,STEM,32
2017,140386,TRAN,26
2017,140390,AAVC,4
2017,140390,AGNR,28
2017,140390,ARCH,17
2017,140390,BMA,1
2017,140390,HLTH,143
2017,140390,HOSP,21
2017,140390,HUMA,1
2017,140390,INFO,1
2017,140390,MANU,3
2017,140390,STEM,2
2017,140390,TRAN,6
2017,150304,AGNR,17
2017,150304,ARCH,9
2017,150304,HLTH,27
2017,150304,HOSP,9
2017,150304,STEM,6
2017,160313,AAVC,9
2017,160313,AGNR,60
2017,160313,ARCH,14
2017,160313,BMA,6
2017,160313,HLTH,3
2017,160313,HOSP,18
2017,160313,HUMA,2
2017,160314,AGNR,48
2017,160314,ARCH,10
2017,160314,BMA,6
2017,160314,HLTH,4
2017,160314,HOSP,45
2017,160314,INFO,6
2017,160314,STEM,7
2017,160344,AAVC,1
2017,160344,AGNR,32
2017,160344,ARCH,16
2017,160344,BMA,10
2017,160344,HLTH,2
2017,160344,HOSP,37
2017,160344,INFO,6
2017,160344,MRKT,5
2017,160344,STEM,7
2017,170316,AGNR,97
2017,170316,ARCH,11
2017,170316,BMA,48
2017,170316,HLTH,12
2017,170316,HOSP,87
2017,170316,HUMA,10
2017,170316,INFO,8
2017,170316,LAW,14
2017,170316,MANU,22
2017,170316,MRKT,24
2017,170316,TRAN,45
2017,180308,AAVC,19
2017,180308,AGNR,82
2017,180308,ARCH,7
2017,180308,BMA,8
2017,180308,HLTH,18
2017,180308,HOSP,42
2017,180308,HUMA,8
2017,180308,INFO,8
2017,180308,MANU,38
2017,180308,MRKT,7
2017,180320,AAVC,27
2017,180320,AGNR,22
2017,180320,ARCH,5
2017,180320,BMA,18
2017,180320,HLTH,31
2017,180320,HOSP,3
2017,180320,HUMA,1
2017,180320,INFO,23
2017,180320,MANU,45
2017,180323,AGNR,3
2017,180323,HOSP,3
2017,180323,INFO,4
2017,180325,LAW,1
2017,180340,AGNR,27
2017,180340,ARCH,16
2017,180340,BMA,4
2017,180340,HLTH,27
2017,180340,HOSP,23
2017,180340,HUMA,1
2017,180340,INFO,28
2017,180340,MANU,7
2017,180340,STEM,1
2017,180348,AAVC,4
2017,180348,AGNR,7
2017,180348,ARCH,14
2017,180348,BMA,15
2017,180348,HLTH,25
2017,180348,HOSP,32
2017,180348,HUMA,5
2017,180348,INFO,32
2017,180348,LAW,1
2017,180348,MANU,6
2017,180348,MRKT,6
2017,180348,TRAN,25
2017,180376,AAVC,1
